                                          AUGUST 1999 
DATE  SID.TIME  SUN   MOON  MERCURY  VENUS  MARS JUPITER SATURN URANUS NEPTUNE PLUTO  NODE 
Sa 19 11:47:53 28PI49 08LE29 24PI09 08PI07 04SG16 16VI57 16SG22 19AR13 10PI13 17CP15 21VI29 
Su 20 11:51:50 29PI49 20LE57 26PI04 09PI21 04SG33 16VI49 16SG23 19AR16 10PI15 17CP16 21VI25 
Mo 21 11:55:46 00AR48 03VI13 28PI01 10PI36 04SG49 16VI42 16SG23 19AR20 10PI17 17CP17 21VI22 
Tu 22 11:59:43 01AR48 15VI20 29PI58 11PI50 05SG06 16VI35 16SG24 19AR23 10PI19 17CP18 21VI19 
We 23 12:03:39 02AR47 27VI19 01AR57 13PI04 05SG21 16VI27 16SG24 19AR26 10PI22 17CP19 21VI16 
Th 24 12:07:36 03AR47 09LI13 03AR56 14PI18 05SG37 16VI20 16SG24 19AR30 10PI24 17CP19 21VI13 
Fr 25 12:11:33 04AR46 21LI03 05AR57 15PI32 05SG51 16VI13 16SG24 19AR33 10PI26 17CP20 21VI10 
Sa 26 12:15:29 05AR46 02SC52 07AR58 16PI46 06SG06 16VI06 16SG24 19AR36 10PI28 17CP21 21VI06 
Su 27 12:19:26 06AR45 14SC43 09AR60 18PI01 06SG20 15VI59 16SG24 19AR40 10PI30 17CP21 21VI03 
Mo 28 12:23:22 07AR44 26SC37 12AR02 19PI15 06SG33 15VI52 16SG24 19AR43 10PI32 17CP22 20VI60 
Tu 29 12:27:19 08AR44 08SG38 14AR05 20PI29 06SG46 15VI45 16SG24 19AR46 10PI34 17CP23 20VI57 
We 30 12:31:15 09AR43 20SG50 16AR08 21PI43 06SG58 15VI39 16SG23 19AR50 10PI36 17CP23 20VI54 
Th 31 12:35:12 10AR42 03CP15 18AR10 22PI57 07SG10 15VI32 16SG23 19AR53 10PI38 17CP24 20VI50
 
                                         APRIL 2016 
DATE  SID.TIME  SUN   MOON  MERCURY  VENUS  MARS JUPITER SATURN URANUS NEPTUNE PLUTO  NODE 
Fr 01 12:39:08 11AR42 15CP59 20AR12 24PI11 07SG21 15VI26 16SG22 19AR57 10PI40 17CP24 20VI47 
Sa 02 12:43:05 12AR41 29CP06 22AR13 25PI26 07SG31 15VI19 16SG22 19AR60 10PI42 17CP25 20VI44 
Su 03 12:47:02 13AR40 12AQ37 24AR14 26PI40 07SG41 15VI13 16SG21 20AR03 10PI44 17CP25 20VI41 
Mo 04 12:50:58 14AR39 26AQ34 26AR12 27PI54 07SG51 15VI07 16SG20 20AR07 10PI46 17CP26 20VI38 
Tu 05 12:54:55 15AR38 10PI58 28AR09 29PI08 07SG60 15VI01 16SG19 20AR10 10PI48 17CP26 20VI35 
We 06 12:58:51 16AR37 25PI46 00TA04 00AR22 08SG08 14VI55 16SG18 20AR14 10PI50 17CP27 20VI31 
Th 07 13:02:48 17AR36 10AR50 01TA56 01AR36 08SG15 14VI50 16SG17 20AR17 10PI52 17CP27 20VI28 
Fr 08 13:06:44 18AR35 26AR04 03TA45 02AR50 08SG22 14VI44 16SG15 20AR20 10PI54 17CP27 20VI25 
Sa 09 13:10:41 19AR34 11TA16 05TA31 04AR04 08SG28 14VI39 16SG14 20AR24 10PI56 17CP28 20VI22 
Su 10 13:14:37 20AR33 26TA18 07TA13 05AR18 08SG34 14VI34 16SG12 20AR27 10PI58 17CP28 20VI19 
Mo 11 13:18:34 21AR32 10GE59 08TA51 06AR32 08SG39 14VI29 16SG11 20AR31 10PI60 17CP28 20VI16 
Tu 12 13:22:31 22AR31 25GE16 10TA25 07AR47 08SG43 14VI24 16SG09 20AR34 11PI01 17CP28 20VI12 
We 13 13:26:27 23AR30 09CN05 11TA55 09AR01 08SG47 14VI19 16SG07 20AR38 11PI03 17CP29 20VI09 
Th 14 13:30:24 24AR29 22CN27 13TA19 10AR15 08SG50 14VI14 16SG06 20AR41 11PI05 17CP29 20VI06 
Fr 15 13:34:20 25AR27 05LE24 14TA39 11AR29 08SG52 14VI10 16SG04 20AR45 11PI07 17CP29 20VI03 
Sa 16 13:38:17 26AR26 17LE60 15TA54 12AR43 08SG53 14VI06 16SG02 20AR48 11PI09 17CP29 19VI60 
Su 17 13:42:13 27AR25 00VI18 17TA03 13AR57 08SG54 14VI01 15SG59 20AR51 11PI10 17CP29 19VI56 
Mo 18 13:46:10 28AR24 12VI24 18TA07 15AR11 08SG54 13VI58 15SG57 20AR55 11PI12 17CP29 19VI53 
Tu 19 13:50:06 29AR22 24VI21 19TA06 16AR25 08SG53 13VI54 15SG55 20AR58 11PI14 17CP29 19VI50 
We 20 13:54:03 00TA21 06LI13 19TA59 17AR39 08SG52 13VI50 15SG53 21AR02 11PI15 17CP29 19VI47 
Th 21 13:57:60 01TA19 18LI02 20TA46 18AR53 08SG50 13VI47 15SG50 21AR05 11PI17 17CP29 19VI44 
Fr 22 14:01:56 02TA18 29LI51 21TA28 20AR07 08SG47 13VI43 15SG48 21AR08 11PI18 17CP29 19VI41 
Sa 23 14:05:53 03TA16 11SC42 22TA03 21AR21 08SG43 13VI40 15SG45 21AR12 11PI20 17CP29 19VI37 
Su 24 14:09:49 04TA15 23SC37 22TA33 22AR35 08SG38 13VI37 15SG42 21AR15 11PI22 17CP29 19VI34 
Mo 25 14:13:46 05TA13 05SG37 22TA57 23AR48 08SG33 13VI35 15SG40 21AR18 11PI23 17CP28 19VI31 
Tu 26 14:17:42 06TA11 17SG45 23TA15 25AR02 08SG27 13VI32 15SG37 21AR22 11PI25 17CP28 19VI28 
We 27 14:21:39 07TA10 00CP02 23TA28 26AR16 08SG20 13VI30 15SG34 21AR25 11PI26 17CP28 19VI25 
Th 28 14:25:35 08TA08 12CP31 23TA35 27AR30 08SG13 13VI28 15SG31 21AR28 11PI28 17CP28 19VI21 
Fr 29 14:29:32 09TA06 25CP16 23TA36 28AR44 08SG05 13VI26 15SG28 21AR32 11PI29 17CP27 19VI18 
Sa 30 14:33:29 10TA05 08AQ18 23TA32 29AR58 07SG56 13VI24 15SG25 21AR35 11PI30 17CP27 19VI15 
                                          MAY 2016 
DATE  SID.TIME  SUN   MOON  MERCURY  VENUS  MARS JUPITER SATURN URANUS NEPTUNE PLUTO  NODE 
Su 01 14:37:25 11TA03 21AQ41 23TA22 01TA12 07SG46 13VI22 15SG21 21AR38 11PI32 17CP27 19VI12 
Mo 02 14:41:22 12TA01 05PI28 23TA08 02TA26 07SG35 13VI21 15SG18 21AR42 11PI33 17CP26 19VI09 
Tu 03 14:45:18 12TA59 19PI39 22TA50 03TA40 07SG24 13VI19 15SG15 21AR45 11PI34 17CP26 19VI06 
We 04 14:49:15 13TA58 04AR14 22TA27 04TA54 07SG12 13VI18 15SG11 21AR48 11PI36 17CP25 19VI02 
Th 05 14:53:11 14TA56 19AR10 22TA00 06TA08 06SG59 13VI17 15SG08 21AR51 11PI37 17CP25 18VI59 
Fr 06 14:57:08 15TA54 04TA19 21TA30 07TA21 06SG46 13VI16 15SG04 21AR55 11PI38 17CP24 18VI56 
Sa 07 15:01:04 16TA52 19TA32 20TA58 08TA35 06SG32 13VI16 15SG01 21AR58 11PI39 17CP24 18VI53 
Su 08 15:05:01 17TA50 04GE38 20TA24 09TA49 06SG17 13VI16 14SG57 22AR01 11PI41 17CP23 18VI50 
Mo 09 15:08:58 18TA48 19GE29 19TA48 11TA03 06SG01 13VI15 14SG53 22AR04 11PI42 17CP23 18VI47 
Tu 10 15:12:54 19TA46 03CN55 19TA12 12TA17 05SG45 13VI15 14SG50 22AR07 11PI43 17CP22 18VI43 
We 11 15:16:51 20TA44 17CN53 18TA35 13TA31 05SG29 13VI16 14SG46 22AR10 11PI44 17CP22 18VI40 
Th 12 15:20:47 21TA42 01LE21 17TA59 14TA45 05SG12 13VI16 14SG42 22AR14 11PI45 17CP21 18VI37 
Fr 13 15:24:44 22TA40 14LE22 17TA24 15TA58 04SG54 13VI16 14SG38 22AR17 11PI46 17CP20 18VI34 
Sa 14 15:28:40 23TA38 26LE58 16TA51 17TA12 04SG36 13VI17 14SG34 22AR20 11PI47 17CP19 18VI31 
Su 15 15:32:37 24TA36 09VI15 16TA20 18TA26 04SG17 13VI18 14SG30 22AR23 11PI48 17CP19 18VI27 
Mo 16 15:36:33 25TA34 21VI17 15TA52 19TA40 03SG58 13VI19 14SG26 22AR26 11PI49 17CP18 18VI24 
Tu 17 15:40:30 26TA32 03LI11 15TA27 20TA54 03SG39 13VI20 14SG22 22AR29 11PI50 17CP17 18VI21 
We 18 15:44:27 27TA29 14LI59 15TA06 22TA07 03SG19 13VI22 14SG18 22AR32 11PI51 17CP16 18VI18 
Th 19 15:48:23 28TA27 26LI48 14TA48 23TA21 02SG59 13VI24 14SG14 22AR35 11PI52 17CP16 18VI15 
Fr 20 15:52:20 29TA25 08SC38 14TA35 24TA35 02SG39 13VI25 14SG09 22AR38 11PI53 17CP15 18VI12 
Sa 21 15:56:16 00GE23 20SC34 14TA26 25TA49 02SG18 13VI27 14SG05 22AR40 11PI53 17CP14 18VI08 
Su 22 16:00:13 01GE20 02SG37 14TA21 27TA02 01SG57 13VI29 14SG01 22AR43 11PI54 17CP13 18VI05 
Mo 23 16:04:09 02GE18 14SG47 14TA21 28TA16 01SG36 13VI32 13SG57 22AR46 11PI55 17CP12 18VI02 
Tu 24 16:08:06 03GE16 27SG07 14TA25 29TA30 01SG15 13VI34 13SG52 22AR49 11PI56 17CP11 17VI59 
We 25 16:12:02 04GE13 09CP36 14TA34 00GE44 00SG54 13VI37 13SG48 22AR52 11PI56 17CP10 17VI56 
Th 26 16:15:59 05GE11 22CP16 14TA47 01GE57 00SG33 13VI40 13SG44 22AR54 11PI57 17CP09 17VI53 
Fr 27 16:19:56 06GE08 05AQ08 15TA05 03GE11 00SG12 13VI43 13SG39 22AR57 11PI57 17CP08 17VI49 
Sa 28 16:23:52 07GE06 18AQ15 15TA27 04GE25 29SC51 13VI46 13SG35 22AR60 11PI58 17CP07 17VI46 
Su 29 16:27:49 08GE03 01PI37 15TA53 05GE39 29SC30 13VI49 13SG30 23AR03 11PI59 17CP06 17VI43 
Mo 30 16:31:45 09GE01 15PI18 16TA24 06GE52 29SC10 13VI53 13SG26 23AR05 11PI59 17CP05 17VI40 
Tu 31 16:35:42 09GE59 29PI18 16TA59 08GE06 28SC49 13VI57 13SG22 23AR08 11PI60 17CP04 17VI37 
                                          JUNE 2016 
DATE  SID.TIME  SUN   MOON  MERCURY  VENUS  MARS JUPITER SATURN URANUS NEPTUNE PLUTO  NODE 
We 01 16:39:38 10GE56 13AR39 17TA38 09GE20 28SC29 14VI00 13SG17 23AR10 11PI60 17CP03 17VI33 
Th 02 16:43:35 11GE54 28AR17 18TA20 10GE34 28SC09 14VI04 13SG13 23AR13 12PI00 17CP02 17VI30 
Fr 03 16:47:31 12GE51 13TA08 19TA07 11GE47 27SC49 14VI09 13SG08 23AR15 12PI01 17CP00 17VI27 
Sa 04 16:51:28 13GE49 28TA06 19TA57 13GE01 27SC30 14VI13 13SG04 23AR18 12PI01 16CP59 17VI24 
Su 05 16:55:25 14GE46 13GE02 20TA51 14GE15 27SC12 14VI17 12SG59 23AR20 12PI01 16CP58 17VI21 
Mo 06 16:59:21 15GE43 27GE45 21TA48 15GE29 26SC53 14VI22 12SG55 23AR23 12PI02 16CP57 17VI18 
Tu 07 17:03:18 16GE41 12CN09 22TA49 16GE42 26SC35 14VI27 12SG51 23AR25 12PI02 16CP56 17VI14 
We 08 17:07:14 17GE38 26CN07 23TA53 17GE56 26SC18 14VI32 12SG46 23AR27 12PI02 16CP54 17VI11 
Th 09 17:11:11 18GE36 09LE38 25TA00 19GE10 26SC02 14VI37 12SG42 23AR30 12PI02 16CP53 17VI08 
Fr 10 17:15:07 19GE33 22LE42 26TA11 20GE24 25SC46 14VI42 12SG37 23AR32 12PI02 16CP52 17VI05 
Sa 11 17:19:04 20GE30 05VI21 27TA25 21GE37 25SC30 14VI47 12SG33 23AR34 12PI03 16CP51 17VI02 
Su 12 17:23:00 21GE28 17VI39 28TA42 22GE51 25SC16 14VI53 12SG28 23AR36 12PI03 16CP49 16VI59 
Mo 13 17:26:57 22GE25 29VI43 00GE02 24GE05 25SC02 14VI59 12SG24 23AR38 12PI03 16CP48 16VI55 
Tu 14 17:30:54 23GE22 11LI37 01GE25 25GE18 24SC48 15VI05 12SG20 23AR41 12PI03 16CP47 16VI52 
We 15 17:34:50 24GE20 23LI26 02GE51 26GE32 24SC36 15VI11 12SG16 23AR43 12PI03 16CP45 16VI49 
Th 16 17:38:47 25GE17 05SC16 04GE21 27GE46 24SC24 15VI17 12SG11 23AR45 12PI03 16CP44 16VI46 
Fr 17 17:42:43 26GE14 17SC10 05GE53 28GE60 24SC13 15VI23 12SG07 23AR47 12PI03 16CP43 16VI43 
Sa 18 17:46:40 27GE12 29SC12 07GE28 00CN13 24SC03 15VI29 12SG03 23AR49 12PI02 16CP41 16VI39 
Su 19 17:50:36 28GE09 11SG24 09GE06 01CN27 23SC53 15VI36 11SG59 23AR51 12PI02 16CP40 16VI36 
Mo 20 17:54:33 29GE06 23SG46 10GE47 02CN41 23SC45 15VI43 11SG54 23AR52 12PI02 16CP38 16VI33 
Tu 21 17:58:29 00CN03 06CP21 12GE31 03CN54 23SC37 15VI49 11SG50 23AR54 12PI02 16CP37 16VI30 
We 22 18:02:26 01CN01 19CP07 14GE18 05CN08 23SC30 15VI56 11SG46 23AR56 12PI02 16CP36 16VI27 
Th 23 18:06:23 01CN58 02AQ05 16GE08 06CN22 23SC24 16VI03 11SG42 23AR58 12PI01 16CP34 16VI24 
Fr 24 18:10:19 02CN55 15AQ15 17GE60 07CN36 23SC18 16VI11 11SG38 23AR60 12PI01 16CP33 16VI20 
Sa 25 18:14:16 03CN52 28AQ35 19GE55 08CN49 23SC14 16VI18 11SG34 24AR01 12PI01 16CP31 16VI17 
Su 26 18:18:12 04CN49 12PI07 21GE52 10CN03 23SC10 16VI25 11SG30 24AR03 12PI00 16CP30 16VI14 
Mo 27 18:22:09 05CN47 25PI52 23GE52 11CN17 23SC07 16VI33 11SG26 24AR04 11PI60 16CP28 16VI11 
Tu 28 18:26:05 06CN44 09AR49 25GE54 12CN30 23SC05 16VI41 11SG23 24AR06 11PI59 16CP27 16VI08 
We 29 18:30:02 07CN41 23AR60 27GE57 13CN44 23SC04 16VI48 11SG19 24AR07 11PI59 16CP26 16VI05 
Th 30 18:33:58 08CN38 08TA21 00CN03 14CN58 23SC03 16VI56 11SG15 24AR09 11PI59 16CP24 16VI01 
                                          JULY 2016 
DATE  SID.TIME  SUN   MOON  MERCURY  VENUS  MARS JUPITER SATURN URANUS NEPTUNE PLUTO  NODE 
Fr 01 18:37:55 09CN36 22TA52 02CN10 16CN12 23SC04 17VI04 11SG12 24AR10 11PI58 16CP23 15VI58 
Sa 02 18:41:52 10CN33 07GE26 04CN18 17CN25 23SC05 17VI13 11SG08 24AR12 11PI57 16CP21 15VI55 
Su 03 18:45:48 11CN30 21GE58 06CN28 18CN39 23SC07 17VI21 11SG04 24AR13 11PI57 16CP20 15VI52 
Mo 04 18:49:45 12CN27 06CN21 08CN38 19CN53 23SC10 17VI29 11SG01 24AR14 11PI56 16CP18 15VI49 
Tu 05 18:53:41 13CN24 20CN29 10CN48 21CN07 23SC14 17VI38 10SG58 24AR15 11PI56 16CP17 15VI45 
We 06 18:57:38 14CN22 04LE17 12CN58 22CN20 23SC18 17VI46 10SG54 24AR17 11PI55 16CP15 15VI42 
Th 07 19:01:34 15CN19 17LE41 15CN09 23CN34 23SC24 17VI55 10SG51 24AR18 11PI54 16CP14 15VI39 
Fr 08 19:05:31 16CN16 00VI42 17CN18 24CN48 23SC30 18VI04 10SG48 24AR19 11PI54 16CP12 15VI36 
Sa 09 19:09:27 17CN13 13VI20 19CN27 26CN02 23SC37 18VI13 10SG45 24AR20 11PI53 16CP11 15VI33 
Su 10 19:13:24 18CN11 25VI40 21CN36 27CN15 23SC44 18VI22 10SG42 24AR21 11PI52 16CP09 15VI30 
Mo 11 19:17:21 19CN08 07LI45 23CN43 28CN29 23SC53 18VI31 10SG39 24AR22 11PI51 16CP08 15VI26 
Tu 12 19:21:17 20CN05 19LI41 25CN48 29CN43 24SC02 18VI40 10SG36 24AR23 11PI50 16CP06 15VI23 
We 13 19:25:14 21CN02 01SC32 27CN53 00LE57 24SC12 18VI50 10SG33 24AR23 11PI49 16CP05 15VI20 
Th 14 19:29:10 21CN59 13SC24 29CN56 02LE10 24SC22 18VI59 10SG30 24AR24 11PI49 16CP03 15VI17 
Fr 15 19:33:07 22CN57 25SC21 01LE57 03LE24 24SC33 19VI09 10SG27 24AR25 11PI48 16CP02 15VI14 
Sa 16 19:37:03 23CN54 07SG28 03LE57 04LE38 24SC45 19VI18 10SG25 24AR26 11PI47 16CP00 15VI10 
Su 17 19:40:60 24CN51 19SG47 05LE55 05LE52 24SC58 19VI28 10SG22 24AR26 11PI46 15CP59 15VI07 
Mo 18 19:44:56 25CN48 02CP20 07LE51 07LE05 25SC11 19VI38 10SG20 24AR27 11PI45 15CP58 15VI04 
Tu 19 19:48:53 26CN46 15CP10 09LE46 08LE19 25SC25 19VI48 10SG17 24AR27 11PI44 15CP56 15VI01 
We 20 19:52:50 27CN43 28CP15 11LE39 09LE33 25SC40 19VI58 10SG15 24AR28 11PI43 15CP55 14VI58 
Th 21 19:56:46 28CN40 11AQ34 13LE30 10LE46 25SC55 20VI08 10SG13 24AR28 11PI42 15CP53 14VI55 
Fr 22 20:00:43 29CN37 25AQ06 15LE19 12LE00 26SC11 20VI18 10SG11 24AR29 11PI40 15CP52 14VI51 
Sa 23 20:04:39 00LE35 08PI49 17LE06 13LE14 26SC27 20VI28 10SG09 24AR29 11PI39 15CP50 14VI48 
Su 24 20:08:36 01LE32 22PI41 18LE52 14LE28 26SC45 20VI39 10SG07 24AR30 11PI38 15CP49 14VI45 
Mo 25 20:12:32 02LE29 06AR41 20LE36 15LE41 27SC02 20VI49 10SG05 24AR30 11PI37 15CP47 14VI42 
Tu 26 20:16:29 03LE26 20AR46 22LE18 16LE55 27SC20 20VI60 10SG03 24AR30 11PI36 15CP46 14VI39 
We 27 20:20:25 04LE24 04TA56 23LE58 18LE09 27SC39 21VI10 10SG01 24AR30 11PI35 15CP45 14VI36 
Th 28 20:24:22 05LE21 19TA09 25LE37 19LE23 27SC59 21VI21 09SG60 24AR30 11PI33 15CP43 14VI32 
Fr 29 20:28:19 06LE18 03GE23 27LE14 20LE36 28SC18 21VI32 09SG58 24AR30 11PI32 15CP42 14VI29 
Sa 30 20:32:15 07LE16 17GE34 28LE49 21LE50 28SC39 21VI42 09SG57 24AR30 11PI31 15CP41 14VI26 
Su 31 20:36:12 08LE13 01CN40 00VI22 23LE04 28SC60 21VI53 09SG55 24AR30 11PI30 15CP39 14VI23 
                                         AUGUST 2016 
DATE  SID.TIME  SUN   MOON  MERCURY  VENUS  MARS JUPITER SATURN URANUS NEPTUNE PLUTO  NODE 
Mo 01 20:40:08 09LE11 15CN36 01VI53 24LE18 29SC21 22VI04 09SG54 24AR30 11PI28 15CP38 14VI20 
Tu 02 20:44:05 10LE08 29CN19 03VI23 25LE31 29SC43 22VI15 09SG53 24AR30 11PI27 15CP37 14VI16 
We 03 20:48:01 11LE06 12LE46 04VI51 26LE45 00SG06 22VI26 09SG52 24AR30 11PI26 15CP35 14VI13 
Th 04 20:51:58 12LE03 25LE55 06VI17 27LE59 00SG29 22VI38 09SG51 24AR30 11PI24 15CP34 14VI10 
Fr 05 20:55:54 13LE00 08VI45 07VI42 29LE12 00SG52 22VI49 09SG50 24AR29 11PI23 15CP33 14VI07 
Sa 06 20:59:51 13LE58 21VI18 09VI04 00VI26 01SG16 23VI00 09SG49 24AR29 11PI21 15CP31 14VI04 
Su 07 21:03:48 14LE55 03LI35 10VI25 01VI40 01SG41 23VI11 09SG49 24AR29 11PI20 15CP30 14VI01 
Mo 08 21:07:44 15LE53 15LI39 11VI43 02VI54 02SG06 23VI23 09SG48 24AR28 11PI19 15CP29 13VI57 
Tu 09 21:11:41 16LE50 27LI35 12VI60 04VI07 02SG31 23VI34 09SG48 24AR28 11PI17 15CP28 13VI54 
We 10 21:15:37 17LE48 09SC27 14VI15 05VI21 02SG57 23VI46 09SG47 24AR27 11PI16 15CP26 13VI51 
Th 11 21:19:34 18LE46 21SC20 15VI27 06VI35 03SG23 23VI58 09SG47 24AR27 11PI14 15CP25 13VI48 
Fr 12 21:23:30 19LE43 03SG18 16VI37 07VI48 03SG49 24VI09 09SG47 24AR26 11PI13 15CP24 13VI45 
Sa 13 21:27:27 20LE41 15SG26 17VI46 09VI02 04SG16 24VI21 09SG47 24AR25 11PI11 15CP23 13VI42 
Su 14 21:31:23 21LE38 27SG48 18VI51 10VI16 04SG44 24VI33 09SG47 24AR25 11PI10 15CP22 13VI38 
Mo 15 21:35:20 22LE36 10CP28 19VI55 11VI29 05SG12 24VI45 09SG47 24AR24 11PI08 15CP21 13VI35 
Tu 16 21:39:17 23LE34 23CP27 20VI55 12VI43 05SG40 24VI56 09SG47 24AR23 11PI07 15CP20 13VI32 
We 17 21:43:13 24LE31 06AQ46 21VI53 13VI57 06SG08 25VI08 09SG47 24AR22 11PI05 15CP19 13VI29 
Th 18 21:47:10 25LE29 20AQ24 22VI49 15VI10 06SG37 25VI20 09SG48 24AR22 11PI03 15CP18 13VI26 
Fr 19 21:51:06 26LE27 04PI20 23VI41 16VI24 07SG06 25VI32 09SG48 24AR21 11PI02 15CP16 13VI22 
Sa 20 21:55:03 27LE24 18PI29 24VI30 17VI38 07SG36 25VI44 09SG49 24AR20 11PI00 15CP15 13VI19 
Su 21 21:58:59 28LE22 02AR48 25VI16 18VI51 08SG06 25VI57 09SG50 24AR19 10PI59 15CP14 13VI16 
Mo 22 22:02:56 29LE20 17AR11 25VI58 20VI05 08SG36 26VI09 09SG50 24AR18 10PI57 15CP14 13VI13 
Tu 23 22:06:52 00VI18 01TA36 26VI37 21VI18 09SG07 26VI21 09SG51 24AR16 10PI55 15CP13 13VI10 
We 24 22:10:49 01VI15 15TA57 27VI12 22VI32 09SG38 26VI33 09SG52 24AR15 10PI54 15CP12 13VI07 
Th 25 22:14:46 02VI13 00GE11 27VI42 23VI46 10SG09 26VI45 09SG53 24AR14 10PI52 15CP11 13VI03 
Fr 26 22:18:42 03VI11 14GE17 28VI08 24VI59 10SG41 26VI58 09SG54 24AR13 10PI51 15CP10 13VI00 
Sa 27 22:22:39 04VI09 28GE12 28VI30 26VI13 11SG12 27VI10 09SG56 24AR12 10PI49 15CP09 12VI57 
Su 28 22:26:35 05VI07 11CN55 28VI46 27VI26 11SG45 27VI23 09SG57 24AR10 10PI47 15CP08 12VI54 
Mo 29 22:30:32 06VI05 25CN26 28VI58 28VI40 12SG17 27VI35 09SG59 24AR09 10PI46 15CP07 12VI51 
Tu 30 22:34:28 07VI03 08LE43 29VI04 29VI53 12SG50 27VI47 10SG00 24AR07 10PI44 15CP07 12VI48 
We 31 22:38:25 08VI01 21LE46 29VI04 01LI07 13SG23 27VI60 10SG02 24AR06 10PI42 15CP06 12VI44 
                                        SEPTEMBER 2016 
DATE  SID.TIME  SUN   MOON  MERCURY  VENUS  MARS JUPITER SATURN URANUS NEPTUNE PLUTO  NODE 
Th 01 22:42:21 08VI59 04VI34 28VI58 02LI21 13SG56 28VI13 10SG03 24AR05 10PI41 15CP05 12VI41 
Fr 02 22:46:18 09VI57 17VI09 28VI47 03LI34 14SG30 28VI25 10SG05 24AR03 10PI39 15CP04 12VI38 
Sa 03 22:50:15 10VI55 29VI31 28VI29 04LI48 15SG04 28VI38 10SG07 24AR01 10PI37 15CP04 12VI35 
Su 04 22:54:11 11VI54 11LI42 28VI04 06LI01 15SG38 28VI50 10SG09 23AR60 10PI36 15CP03 12VI32 
Mo 05 22:58:08 12VI52 23LI43 27VI34 07LI15 16SG12 29VI03 10SG11 23AR58 10PI34 15CP02 12VI28 
Tu 06 23:02:04 13VI50 05SC37 26VI57 08LI28 16SG47 29VI16 10SG14 23AR57 10PI32 15CP02 12VI25 
We 07 23:06:01 14VI48 17SC28 26VI15 09LI41 17SG22 29VI28 10SG16 23AR55 10PI31 15CP01 12VI22 
Th 08 23:09:57 15VI46 29SC20 25VI27 10LI55 17SG57 29VI41 10SG18 23AR53 10PI29 15CP01 12VI19 
Fr 09 23:13:54 16VI45 11SG17 24VI34 12LI08 18SG33 29VI54 10SG21 23AR51 10PI28 15CP00 12VI16 
Sa 10 23:17:50 17VI43 23SG23 23VI38 13LI22 19SG08 00LI07 10SG23 23AR49 10PI26 14CP60 12VI13 
Su 11 23:21:47 18VI41 05CP44 22VI39 14LI35 19SG44 00LI20 10SG26 23AR48 10PI24 14CP59 12VI09 
Mo 12 23:25:44 19VI40 18CP22 21VI38 15LI49 20SG21 00LI32 10SG29 23AR46 10PI23 14CP59 12VI06 
Tu 13 23:29:40 20VI38 01AQ23 20VI36 17LI02 20SG57 00LI45 10SG32 23AR44 10PI21 14CP58 12VI03 
We 14 23:33:37 21VI36 14AQ47 19VI36 18LI15 21SG33 00LI58 10SG34 23AR42 10PI19 14CP58 11VI60 
Th 15 23:37:33 22VI35 28AQ36 18VI38 19LI29 22SG10 01LI11 10SG38 23AR40 10PI18 14CP58 11VI57 
Fr 16 23:41:30 23VI33 12PI48 17VI45 20LI42 22SG47 01LI24 10SG41 23AR38 10PI16 14CP57 11VI53 
Sa 17 23:45:26 24VI32 27PI19 16VI56 21LI55 23SG24 01LI37 10SG44 23AR36 10PI15 14CP57 11VI50 
Su 18 23:49:23 25VI30 12AR04 16VI14 23LI09 24SG02 01LI50 10SG47 23AR34 10PI13 14CP57 11VI47 
Mo 19 23:53:19 26VI29 26AR55 15VI40 24LI22 24SG39 02LI03 10SG50 23AR32 10PI11 14CP56 11VI44 
Tu 20 23:57:16 27VI28 11TA44 15VI14 25LI35 25SG17 02LI16 10SG54 23AR30 10PI10 14CP56 11VI41 
We 21 00:01:13 28VI26 26TA25 14VI57 26LI48 25SG55 02LI28 10SG57 23AR28 10PI08 14CP56 11VI38 
Th 22 00:05:09 29VI25 10GE52 14VI50 28LI01 26SG33 02LI41 11SG01 23AR25 10PI07 14CP56 11VI34 
Fr 23 00:09:06 00LI24 25GE01 14VI52 29LI15 27SG12 02LI54 11SG05 23AR23 10PI05 14CP56 11VI31 
Sa 24 00:13:02 01LI22 08CN51 15VI05 00SC28 27SG50 03LI07 11SG08 23AR21 10PI04 14CP56 11VI28 
Su 25 00:16:59 02LI21 22CN22 15VI27 01SC41 28SG29 03LI20 11SG12 23AR19 10PI02 14CP56 11VI25 
Mo 26 00:20:55 03LI20 05LE34 15VI59 02SC54 29SG08 03LI33 11SG16 23AR17 10PI01 14CP56 11VI22 
Tu 27 00:24:52 04LI19 18LE30 16VI40 04SC07 29SG47 03LI46 11SG20 23AR14 09PI59 14CP56 11VI19 
We 28 00:28:48 05LI18 01VI11 17VI29 05SC20 00CP26 03LI59 11SG24 23AR12 09PI58 14CP56 11VI15 
Th 29 00:32:45 06LI17 13VI41 18VI26 06SC34 01CP05 04LI12 11SG28 23AR10 09PI56 14CP56 11VI12 
Fr 30 00:36:42 07LI16 25VI59 19VI31 07SC47 01CP45 04LI25 11SG33 23AR07 09PI55 14CP56 11VI09 
                                         OCTOBER 2016 
DATE  SID.TIME  SUN   MOON  MERCURY  VENUS  MARS JUPITER SATURN URANUS NEPTUNE PLUTO  NODE 
Sa 01 00:40:38 08LI15 08LI09 20VI42 08SC60 02CP25 04LI38 11SG37 23AR05 09PI54 14CP56 11VI06 
Su 02 00:44:35 09LI14 20LI11 21VI59 10SC13 03CP04 04LI51 11SG41 23AR03 09PI52 14CP56 11VI03 
